case_id,no_perkara,tanggal_putusan,pengadilan,jenis_perkara,sumber_url,raw_file,status_download,jumlah_kata
case_019,1347 / PID.B / 2014 / PN.TNG.,20 Agustus 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/a3aedfdaa5c381abd8efe3088559cfb4.html,case_019.txt,berhasil_list_html,372
case_020,672 / PID.B / 2013 / PN.TNG,15 Mei 2013,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/af8fac0ea6bf31bb3475f4a607d8f0b7.html,case_020.txt,berhasil_list_html,329
case_021,395/Pid.B/2023/PN Tng,9 Mei 2023,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaedfadf877aa55c8478313633353437.html,case_021.txt,berhasil_list_html,58
case_022,46/Pid.B/2024/PN Tng,5 Maret 2024,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaef3327a10bcfc4a212303231373537.html,case_022.txt,berhasil_list_html,82
case_023,1431/Pid.B/2021/PN Tng,30 Nopember 2021,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec527fe57c45ac863c313532333030.html,case_023.txt,berhasil_list_html,95
case_024,1544/Pid.B/2021/PN Tng,17 Nopember 2021,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec47891274e3d6889b313633303538.html,case_024.txt,berhasil_list_html,89
case_025,1048/Pid.B/2022/PN Tng,19 September 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed38c2290e398c9854313535363438.html,case_025.txt,berhasil_list_html,110
case_026,1952/Pid.B/2022/PN Tng,20 Desember 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed803e5dbc637a802e313531343436.html,case_026.txt,berhasil_list_html,97
case_027,1649/Pid.B/2022/PN Tng,30 Nopember 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed708d0c8782529978313535373432.html,case_027.txt,berhasil_list_html,104
case_028,1905/Pid.B/2021/PN Tng,19 Januari 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec7cbf4158b9c8bc31303934323231.html,case_028.txt,berhasil_list_html,101
case_029,1871/Pid.B/2021/PN Tng,5 Januari 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaec6ed1abbff3e08ad8313631383535.html,case_029.txt,berhasil_list_html,108
case_030,235/Pid.B/2017/PN.TNG.,12 April 2017,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/31651f98aaf5fb0c522ce3ca89d60b7f.html,case_030.txt,berhasil_list_html,271
case_031,1686/Pid.B/2022/PN Tng,30 Nopember 2022,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaed7b9067f76cd497b3313631393236.html,case_031.txt,berhasil_list_html,114
case_032,168/Pid.B/2023/PN Tng,8 Maret 2023,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/zaedbe34bbc79b18b4cf313134323031.html,case_032.txt,berhasil_list_html,99
case_033,1790 / PID.B / 2014 / PN.TNG.,14 Oktober 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/7162a09b85f69cff1006bbeb65358019.html,case_033.txt,berhasil_list_html,368
case_034,2118/Pid.B/2014/PN.TNG,18 Desember 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/a90dfad5ed395a96e45243719e858539.html,case_034.txt,berhasil_list_html,357
case_035,1996/Pid.B/2011/PN.TNG,22 Desember 2011,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/7b8578278a899a37e5346fefeec61638.html,case_035.txt,berhasil_list_html,100
case_036,265/PID.B/2013/PN.TNG,21 Maret 2013,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/1952227d2d0bfff610adcb359e6fe52c.html,case_036.txt,berhasil_list_html,230
case_037,1380 / PID.B / 2014 / PN.TNG.,28 Agustus 2014,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/0af7886969da9821c6e5d1c20163fa05.html,case_037.txt,berhasil_list_html,330
case_038,1339/ PID.B/ 2011/ PN.TNG.,22 Agustus 2011,PN Tangerang,Pidana Umum - Pencurian,https://putusan3.mahkamahagung.go.id/direktori/putusan/33d09168e3bd3a126ab61880e5aa454a.html,case_038.txt,berhasil_list_html,343
